scheduler,workload,network,task_seed,num_tasks,episode_return,return_per_task,on_time_rate,completion_rate,avg_latency_ms,energy_per_task_j
RoundRobin,heavy,congested,700000119,180,-671.3010136189603,-3.7294500756608904,0.05,0.05,2057.9397979669793,72.31224742442662
Random,heavy,congested,700000119,180,-677.3416692205437,-3.7630092734474654,0.03333333333333333,0.03333333333333333,1703.4282552589596,67.40175885816235
Greedy,heavy,congested,700000119,180,-638.099577008011,-3.5449976500445057,0.03888888888888889,0.03888888888888889,1706.1195075364533,45.64470804883178
ECT,heavy,congested,700000119,180,-651.7858741814983,-3.6210326343416575,0.044444444444444446,0.044444444444444446,1825.443302620529,64.05713620823859
FIFO,burst,normal,700000120,178,-620.8087638334089,-3.487689684457353,0.011235955056179775,0.011235955056179775,1589.068501211984,73.1079697810594
RoundRobin,burst,normal,700000120,178,-509.40450692647534,-2.861823072620648,0.19101123595505617,0.19101123595505617,1047.8182392814685,31.139537585279573
Random,burst,normal,700000120,178,-514.0567124845679,-2.887959058902067,0.19101123595505617,0.19662921348314608,1084.5345888246804,26.552130753760455
Greedy,burst,normal,700000120,178,-498.6997678577214,-2.8016840890883223,0.1797752808988764,0.1797752808988764,995.2082051359163,18.308686263856522
ECT,burst,normal,700000120,178,-498.6841613595343,-2.801596412132215,0.19662921348314608,0.19662921348314608,1065.8556127808783,14.590028626380983
FIFO,burst,normal,700000121,112,-426.68706378335287,-3.809705926637079,0.008928571428571428,0.008928571428571428,627.1718777824324,69.983972886877
RoundRobin,burst,normal,700000121,112,-319.3204571692691,-2.8510755104399026,0.2857142857142857,0.2857142857142857,975.2985334326474,39.46367690905345
Random,burst,normal,700000121,112,-330.49027587329226,-2.9508060345829668,0.25,0.25,983.6021623594905,40.7033050640926
Greedy,burst,normal,700000121,112,-331.74123090332245,-2.961975275922522,0.23214285714285715,0.23214285714285715,1022.0104927484662,15.240693777256443
ECT,burst,normal,700000121,112,-318.48659713881506,-2.843630331596563,0.25892857142857145,0.26785714285714285,909.5865004931978,13.330293935310157
FIFO,burst,normal,700000122,173,-588.8337086530187,-3.4036630557977956,0.005780346820809248,0.005780346820809248,412.29992062699705,69.98316312881772
RoundRobin,burst,normal,700000122,173,-458.9961904012243,-2.6531571699492735,0.24855491329479767,0.2543352601156069,912.3176817474106,33.24277071680057
Random,burst,normal,700000122,173,-475.31461627185206,-2.747483331051168,0.2254335260115607,0.2254335260115607,975.2752533189947,28.885730056633804
Greedy,burst,normal,700000122,173,-484.2581588367605,-2.7991801088830086,0.15606936416184972,0.16184971098265896,1253.2917331812262,13.778981601800835
ECT,burst,normal,700000122,173,-479.6386692206157,-2.7724778567665647,0.15606936416184972,0.15606936416184972,1148.814869834568,9.773022627351525
FIFO,burst,normal,700000123,192,-677.2178811127951,-3.527176464129141,0.015625,0.015625,896.8563170476715,74.32173661238049
RoundRobin,burst,normal,700000123,192,-573.9848076919332,-2.9895042067288187,0.18229166666666666,0.1875,1029.2494383329606,27.11640348340345
Random,burst,normal,700000123,192,-562.9507661947937,-2.932035240597884,0.16666666666666666,0.16666666666666666,980.4326633029581,30.75950055703339
Greedy,burst,normal,700000123,192,-549.2684405489564,-2.8607731278591477,0.17708333333333334,0.17708333333333334,1075.742330986521,16.73827199660722
ECT,burst,normal,700000123,192,-570.971168938808,-2.9738081715562914,0.14583333333333334,0.14583333333333334,1181.1348865344557,10.644014609972052
FIFO,burst,normal,700000124,149,-494.41731320066225,-3.3182370013467266,0.03355704697986577,0.03355704697986577,1199.4446395357759,73.81241248577393
RoundRobin,burst,normal,700000124,149,-383.73480509131156,-2.5754013764517554,0.24161073825503357,0.24161073825503357,883.3782479108756,33.24291993851084
Random,burst,normal,700000124,149,-384.1537032967565,-2.5782127738037346,0.2684563758389262,0.2751677852348993,972.1052214366786,28.252187717066462
Greedy,burst,normal,700000124,149,-390.1924778310989,-2.618741461953684,0.21476510067114093,0.21476510067114093,1098.121134081564,11.74090064605604
ECT,burst,normal,700000124,149,-375.6314955927783,-2.5210167489448208,0.2483221476510067,0.2483221476510067,1036.5932147109338,10.97812333054193
FIFO,burst,normal,700000125,186,-659.8628220804742,-3.547649581077818,0.005376344086021506,0.005376344086021506,1652.0991853977944,75.83783751433464
RoundRobin,burst,normal,700000125,186,-567.2558711574198,-3.0497627481581713,0.16129032258064516,0.16666666666666666,1154.0954788220092,32.27973301297302
Random,burst,normal,700000125,186,-541.1822654230274,-2.9095820721668137,0.14516129032258066,0.14516129032258066,979.3961196990824,34.248199976133996
Greedy,burst,normal,700000125,186,-537.347223449111,-2.888963566930704,0.13978494623655913,0.13978494623655913,1054.2004707725705,14.157487203919715
ECT,burst,normal,700000125,186,-563.7854309996287,-3.0311044677399392,0.08064516129032258,0.08602150537634409,1279.9820903176128,10.149470494240779
FIFO,burst,normal,700000126,120,-406.6287935746599,-3.388573279788832,0.016666666666666666,0.016666666666666666,1190.4571589755992,69.45514528329497
RoundRobin,burst,normal,700000126,120,-310.26177422623414,-2.585514785218618,0.2833333333333333,0.2916666666666667,965.2611539816137,35.37356732661184
Random,burst,normal,700000126,120,-297.43499035304825,-2.4786249196087353,0.30833333333333335,0.30833333333333335,992.7380174803108,23.784969584854487
Greedy,burst,normal,700000126,120,-311.4459536196123,-2.595382946830102,0.2916666666666667,0.2916666666666667,1024.756713714187,19.56798024891835
ECT,burst,normal,700000126,120,-298.50743236223553,-2.487561936351963,0.3333333333333333,0.3333333333333333,974.072903469664,14.675364212588367
FIFO,burst,normal,700000127,152,-543.3423185956045,-3.5746205170763456,0.006578947368421052,0.006578947368421052,1122.274667045767,73.0686209846551
RoundRobin,burst,normal,700000127,152,-466.74110647475237,-3.0706651741760025,0.11842105263157894,0.11842105263157894,1104.4845302913434,34.16815036515624
Random,burst,normal,700000127,152,-482.2108141769656,-3.172439566953721,0.13157894736842105,0.13815789473684212,932.4955404770024,44.02261208469403
Greedy,burst,normal,700000127,152,-463.7218508447923,-3.050801650294686,0.08552631578947369,0.08552631578947369,891.8471327342079,18.79527605868427
ECT,burst,normal,700000127,152,-467.52904483613116,-3.0758489791850736,0.07894736842105263,0.08552631578947369,822.1257618631427,11.804992130035586
FIFO,burst,normal,700000128,162,-572.7622010926884,-3.5355691425474594,0.012345679012345678,0.012345679012345678,1071.69282934715,71.73646721299546
RoundRobin,burst,normal,700000128,162,-473.20086044110786,-2.920992965685851,0.16666666666666666,0.1728395061728395,990.5691762393253,32.20823983726433
Random,burst,normal,700000128,162,-473.66006678587576,-2.9238275727523195,0.2037037037037037,0.20987654320987653,1150.2201846876699,31.30517112852057
Greedy,burst,normal,700000128,162,-485.0092568278186,-2.9938843014062875,0.12962962962962962,0.13580246913580246,1167.254038837801,12.84915959437238
ECT,burst,normal,700000128,162,-490.8183700912438,-3.0297430252545916,0.11728395061728394,0.12345679012345678,1096.9623986101735,11.082156912913694
FIFO,burst,normal,700000129,121,-400.89654085965515,-3.3131945525591333,0.024793388429752067,0.024793388429752067,1206.9120846713665,69.4044827221766
RoundRobin,burst,normal,700000129,121,-299.30309935322697,-2.4735793334977436,0.3305785123966942,0.3305785123966942,1136.615438127526,28.758454206680923
Random,burst,normal,700000129,121,-328.4352547413975,-2.7143409482760124,0.256198347107438,0.2644628099173554,956.5340459854632,46.49796389255035
Greedy,burst,normal,700000129,121,-299.75098157608363,-2.4772808394717654,0.3140495867768595,0.3305785123966942,1155.9572839187842,17.283887290912944
ECT,burst,normal,700000129,121,-286.7219994211709,-2.3696033010014124,0.38016528925619836,0.3884297520661157,1166.7285969539864,12.05840922435639
FIFO,burst,normal,700000130,138,-492.506343809535,-3.5688865493444566,0.0,0.0,0.0,72.64973025281355
RoundRobin,burst,normal,700000130,138,-367.5196453100533,-2.6631858355800966,0.3115942028985507,0.3115942028985507,913.9004344626087,34.70534762725176
Random,burst,normal,700000130,138,-386.0088876784342,-2.7971658527422765,0.2246376811594203,0.2246376811594203,1004.0020393186597,24.519006174648602
Greedy,burst,normal,700000130,138,-379.24504787122305,-2.7481525208059643,0.2463768115942029,0.2463768115942029,1161.8778799450838,12.75960453562529
ECT,burst,normal,700000130,138,-395.7225886623253,-2.867554990306705,0.21014492753623187,0.21014492753623187,1349.044553444122,10.451262369070456
FIFO,burst,normal,700000131,163,-548.6044906598852,-3.3656717218397865,0.012269938650306749,0.012269938650306749,1175.0240947883262,73.76204178256685
